Id,MaHoSo,SoBaoDanh,ThuTuNhanHoSo,MaSinhVien,MaBarcode,HoDem,Ten,GioiTinh,NgaySinh,DonViCuDiHoc,DanToc,TonGiao,HoKhauThuongTru,DiaChiLienLac,TenTinh,TenHuyen,TenPhuongXa,NoiSinhTinh,NoiSinhHuyen,NoiSinhPhuongXa,NguyenQuan,TenDoiTuong,TenDoiTuongChinhSach,KhuVuc,PhanHe,TruongTotNghiep,NgayVaoDoan,NgayVaoDang,SoCMND,NgayCap,NoiCapCMND,NoiCap,NgayNhapHoc,HoTenCha,NgheNghiepCha,HoTenMe,NgheNghiepMe,SoDienThoai,SoDienThoaiPhuHuynh,SoDienThoai2,SoDienThoai3,Email,EmailTruong,SoTaiKhoan,TenTaiKhoan,TenNganHang,ChiNhanhNganHang,MaBHXHBHYT,TrangThai,QuocTich,TruongLop12,SoQuyetDinh,NgayQuyetDinh,DotRaQuyetDinh,ChucVu,DonViCongTac,GhiChu,HinhTheSinhVienUrl,NgayImportAnhTheSv,NgayCapNhatAnhThe,AnhCMNDMatTruoc,AnhCMNDMatSau,AnhBangTotNghiep,AnhHocBa,AnhGiayKhaiSinh,AnhHoKhau,HoSoDaXacThuc,NgayXacThucHoSo,NgayTao,NgayCapNhat,IsDeleted
1c5db38b-410f-4d4e-b63a-309ef8f8db64,HS001,SBD001,1,SV001,BC001,Nguyen Thi,Thao,0,15/7/2004,THPT Nguyen Binh Khiem,Kinh,Khong,123 Le Loi P.1 Q.Binh Thanh TP.HCM,123 Le Loi P.1 Q.Binh Thanh TP.HCM,TP.HCM,Binh Thanh,Phuong 1,Ha Noi,Dong Da,Quang Trung,,,,KV2,,THPT Nguyen Binh Khiem,5/9/2019,,10/1/2021,,CA TP.HCM,,,Nguyen Van An,Ky Su,Tran Thi Hoa,Ke Toan,987654321,,,,thao.nt@mail.com,,,NGUYEN THI THAO,Vietcombank,Chi nhanh Sai Gon,123456789,1,Vi?t Nam,THPT Nguyen Binh Khiem,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
c2c6e3e1-b9e6-4b7b-8d6a-6e3b414c2c0f,HS002,SBD002,2,SV002,BC002,Tran Van,Hung,1,22/3/2005,THPT Phan Chu Trinh,Kinh,Phat giao,45 Tran Phu P.3 Q.Hai Ba Trung Ha Noi,45 Tran Phu P.3 Q.Hai Ba Trung Ha Noi,Ha Noi,Hai Ba Trung,Phuong 3,Hai Phong,Ngo Quyen,Cau Dat,,,,KV1,,THPT Phan Chu Trinh,10/11/2019,,20/5/2022,,CA Ha Noi,,,Tran Van Binh,Cong An,Pham Thi Mai,Noi Tro,978123456,,,,hung.tv@mail.com,,,TRAN VAN HUNG,Agribank,Chi nhanh Ha Noi,1234567890,1,Vi?t Nam,THPT Phan Chu Trinh,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
78e90e9b-f3e2-4a5c-a64b-6aecc35278c1,HS003,SBD003,3,SV003,BC003,Le Thi,Anh,0,1/11/2004,THPT Chu Van An,Tay,Khong,789 Dien Bien Phu P.5 Q.Son Tra Da Nang,789 Dien Bien Phu P.5 Q.Son Tra Da Nang,Da Nang,Son Tra,Phuong 5,Da Nang,Lien Chieu,Hoa Minh,,,,KV2-NT,,THPT Chu Van An,15/5/2020,,1/3/2022,,CA Da Nang,,,Le Van Dat,Bo Doi,Bui Thi Yen,Giao Vien,965432109,,,,anh.lt@mail.com,,,LE THI ANH,BIDV,Chi nhanh Da Nang,2345678901,1,Vi?t Nam,THPT Chu Van An,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
bb5b0117-1d46-4d26-a6bc-41cf77c116b6,HS004,SBD004,4,SV004,BC004,Pham Minh,Duc,1,29/10/2003,THPT Ngo Quyen,Kinh,Thien Chua giao,101 Nguyen Hue P.Tan An Q.Ninh Kieu Can Tho,101 Nguyen Hue P.Tan An Q.Ninh Kieu Can Tho,Can Tho,Ninh Kieu,Tan An,Can Tho,Cai Rang,Hung Thanh,,,,KV1,,THPT Ngo Quyen,20/1/2020,,12/11/2021,,CA Can Tho,,,Pham Van Thinh,Quan Ly,Hoang Thi Ngoc,Ban Hang,918765432,,,,duc.pm@mail.com,,,PHAM MINH DUC,MBBank,Chi nhanh Can Tho,3456789012,1,Vi?t Nam,THPT Ngo Quyen,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
7996f5f1-4c02-4472-938a-835fd3d8486b,HS005,SBD005,5,BC005,SV005,Hoang Van,Tai,1,8/6/2005,THPT Vo Nguyen Giap,H'mong,Phat giao,20 Ly Thuong Kiet P.1 Q.Go Vap TP.HCM,20 Ly Thuong Kiet P.1 Q.Go Vap TP.HCM,TP.HCM,Go Vap,Phuong 1,Gia Lai,Pleiku,Yen The,,,,KV2,,THPT Vo Nguyen Giap,1/4/2020,,5/8/2022,,CA Gia Lai,,,Hoang Van Nam,Nong Dan,Nguyen Thi Lien,Noi Tro,903456789,,,,tai.hv@mail.com,,,HOANG VAN TAI,VPBank,Chi nhanh Ho Chi Minh,4567890123,1,Vi?t Nam,THPT Vo Nguyen Giap,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
aa8cd313-c899-49a4-91de-d09d09d51e3e,HS006,SBD006,6,SV006,BC006,Vo Thi,Yen,0,12/2/2004,THPT Le Quy Don,Kinh,Thien Chua giao,888 Cach Mang Thang 8 P.7 Q.3 TP.HCM,888 Cach Mang Thang 8 P.7 Q.3 TP.HCM,TP.HCM,Quan 3,Phuong 7,Binh Duong,Di An,An Binh,,,,KV3,,THPT Le Quy Don,25/12/2019,,15/6/2021,,CA Binh Duong,,,Vo Van Chau,Tai Xe,Nguyen Thi Kim,Buon Ban,905678901,,,,yen.vt@mail.com,,,VO THI YEN,Techcombank,Chi nhanh Binh Duong,5678901234,1,Vi?t Nam,THPT Le Quy Don,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
ef6c160f-8bb2-4c29-8e3b-9b1dcae49b33,HS007,SBD007,7,SV007,BC007,Ngo Thanh,Long,1,5/9/2005,THPT Huynh Thuc Khang,Kinh,Khong,33 Phan Dang Luu P.4 Q.Phu Nhuan TP.HCM,33 Phan Dang Luu P.4 Q.Phu Nhuan TP.HCM,TP.HCM,Phu Nhuan,Phuong 4,Nghe An,Vinh,Truong Thi,,,,KV2-NT,,THPT Huynh Thuc Khang,18/3/2020,,1/4/2023,,CA Nghe An,,,Ngo Van Duong,Can Bo,Le Thi Thanh,Ke Toan,919012345,,,,long.nt@mail.com,,,NGO THANH LONG,Sacombank,Chi nhanh Phu Nhuan,6789012345,1,Vi?t Nam,THPT Huynh Thuc Khang,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
b268a869-55c5-4b91-9a1e-716edcd621e4,HS008,SBD008,8,SV008,BC008,Do Minh,Tam,1,30/11/2004,THPT Dong Da,Muong,Phat giao,99 Nguyen Trai P.1 Q.5 TP.HCM,99 Nguyen Trai P.1 Q.5 TP.HCM,TP.HCM,Quan 5,Phuong 1,TP.HCM,Quan 5,Phuong 1,,,,KV1,,THPT Dong Da,9/7/2020,,25/9/2021,,CA TP.HCM,,,Do Van Hung,Lao Dong,Tran Thi Diep,Kinh Doanh,983456789,,,,tam.dm@mail.com,,,DO MINH TAM,ACB,Chi nhanh Quan 5,7890123456,1,Vi?t Nam,THPT Dong Da,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
0b41c34c-cf3f-4d2b-9e6c-61dc5f1dfd8f,HS009,SBD009,9,SV009,BC009,Nguyen Van,Khang,1,19/8/2003,THPT Marie Curie,Kinh,Khong,50 Truong Chinh P.10 Q.Tan Binh TP.HCM,50 Truong Chinh P.10 Q.Tan Binh TP.HCM,TP.HCM,Tan Binh,Phuong 10,Hai Duong,Thanh Mien,Hong Lac,,,,KV2,,THPT Marie Curie,2/1/2020,,11/2/2023,,CA Hai Duong,,,Nguyen Van Ba,Nhan Vien,Phan Thi Loc,Thu Ky,973456789,,,,khang.nv@mail.com,,,NGUYEN VAN KHANG,Eximbank,Chi nhanh Tan Binh,8901234567,1,Vi?t Nam,THPT Marie Curie,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
c84d734e-8916-4ac1-a917-481a2f7a2ac9,HS010,SBD010,10,SV010,BC010,Tran Thi,Mai,0,7/4/2005,THPT Tran Quy Cap,Kinh,Phat giao,15 Tran Hung Dao P.1 Q.1 TP.HCM,15 Tran Hung Dao P.1 Q.1 TP.HCM,TP.HCM,Quan 1,Phuong 1,Da Lat,Bao Loc,Loc Son,,,,KV3,,THPT Tran Quy Cap,8/5/2020,,8/10/2021,,CA Lam Dong,,,Tran Van Chien,Giao Vien,Hoang Thi Mien,Ban Hang,906789012,,,,mai.tt@mail.com,,,TRAN THI MAI,VietinBank,Chi nhanh Quan 1,9012345678,1,Vi?t Nam,THPT Tran Quy Cap,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
3e5b2c42-cadb-4d57-b34d-34b6880cb539,HS011,SBD011,11,SV011,BC011,Le Van,Thanh,1,20/6/2004,THPT Phan Boi Chau,Kinh,Khong,77 Hoang Dieu P.5 Q.4 TP.HCM,77 Hoang Dieu P.5 Q.4 TP.HCM,TP.HCM,Quan 4,Phuong 5,Binh Thuan,Phan Thiet,Phu Thuy,,,,KV1,,THPT Phan Boi Chau,3/2/2020,,19/7/2022,,CA Binh Thuan,,,Le Van Cong,Quan Nhan,Nguyen Thi Xuan,Y Ta,917890123,,,,thanh.lv@mail.com,,,LE VAN THANH,TPBank,Chi nhanh Quan 4,123456789,1,Vi?t Nam,THPT Phan Boi Chau,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
bcbd8220-7599-47ff-9cb2-cfc400368e9c,HS012,SBD012,12,SV012,BC012,Pham Thi,Huong,0,10/12/2005,THPT Hung Vuong,Dao,Phat giao,22 Su Van Hanh P.12 Q.10 TP.HCM,22 Su Van Hanh P.12 Q.10 TP.HCM,TP.HCM,Quan 10,Phuong 12,Quang Nam,Hoi An,Cam Pho,,,,KV2,,THPT Hung Vuong,16/9/2020,,14/1/2023,,CA Quang Nam,,,Pham Van Quang,Ky Thuat,Tran Thi Hong,Lam Ruong,981234567,,,,huong.pt@mail.com,,,PHAM THI HUONG,OceanBank,Chi nhanh Quan 10,1234567890,1,Vi?t Nam,THPT Hung Vuong,,,,,,,https://filestorage-avatar.png,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,,,,,,,TRUE,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,2025-07-07 15:29:56.754 +0700,FALSE
